country,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75_79,age80plus,all
Oman,1495,3629,4745,5114,5540,6138,6333,6265,6322,6313,6401,6447,6303,6076,4810,4462
Pakistan,1456,3812,5254,5646,5974,6361,6587,6647,6761,6951,7165,7201,7058,6840,5221,3933
Palestine,2405,5310,6426,7044,7577,8220,8543,8471,8442,8377,8340,8207,7999,7738,6041,4600
Panama,1447,3879,5333,5563,5600,5567,5567,5738,5930,6180,6359,6311,6150,5947,4644,4131
Papua New Guinea,1191,2942,3836,4037,4277,4667,5004,5274,5533,5847,6121,6152,6071,5950,4565,2923
Paraguay,1842,5067,6944,7109,7162,7283,7360,7380,7443,7563,7600,7415,7156,6862,5507,5000
Peru,1604,4372,5979,6171,6299,6466,6576,6610,6712,6846,6926,6827,6613,6392,5055,4598
Philippines,1138,2876,3880,4214,4508,4861,5179,5418,5660,5980,6225,6202,6075,5882,4514,3272
Poland,1447,3658,4847,5056,5196,5423,5581,5729,5894,6105,6300,6408,6421,6359,4808,4829
Portugal,1928,4318,5797,6158,6336,6476,6497,6362,6268,6249,6331,6426,6417,6342,5119,5354
Puerto Rico,1619,4350,5960,6100,6198,6368,6468,6560,6670,6801,6935,6821,6630,6388,5048,5144
Qatar,1471,3510,4589,5125,5600,6066,6280,6251,6198,6195,6289,6339,6198,6005,4739,4759
Romania,1438,3664,4823,5001,5188,5449,5666,5758,5886,6081,6249,6337,6366,6352,4784,4772
Russia,1517,3589,4511,4940,5294,5585,5886,6313,6781,7313,7759,8022,8158,8167,5801,5277
Rwanda,1680,4283,5621,5728,5876,6246,6526,6620,6821,7071,7254,7212,7022,6797,5189,3658
Saint Lucia,1591,4290,5881,6082,6191,6322,6414,6454,6553,6686,6766,6731,6537,6266,4995,4803
Saint Vincent and the Grenadines,1595,4293,5873,6016,6098,6260,6385,6415,6513,6652,6777,6705,6519,6319,4990,4687
Samoa,1211,2991,3875,4064,4293,4715,5022,5269,5556,5834,6081,6118,6047,5895,4583,2992
Sao Tome and Principe,1779,4543,5961,6196,6416,6761,6967,6999,7188,7381,7501,7620,7538,7268,5578,3805
Saudi Arabia,1304,3510,4957,5502,5956,6395,6497,6368,6463,6478,6553,6687,6579,6333,4889,4263
Senegal,1767,4469,5817,6086,6362,6751,7023,7099,7197,7346,7456,7547,7448,7343,5594,3713
Serbia,1456,3704,4864,5063,5250,5500,5705,5792,5917,6090,6252,6345,6355,6314,4776,4735
Seychelles,1157,2937,3980,4287,4558,4921,5224,5462,5750,6039,6263,6233,6104,5959,4568,3856
Sierra Leone,1773,4475,5830,6080,6315,6680,6916,7014,7071,7212,7346,7360,7323,7218,5469,3774
Singapore,1526,3842,5104,5152,5042,4927,4815,4735,4741,4795,4917,5008,5047,5037,4009,4134
Slovakia,1471,3725,4907,5061,5221,5475,5689,5795,5919,6085,6265,6375,6433,6363,4840,4834
Slovenia,1462,3725,4879,5059,5208,5483,5672,5797,5926,6060,6225,6322,6357,6312,4817,4840
Solomon Islands,1193,2986,3859,4060,4312,4725,5033,5279,5538,5833,6100,6149,6008,5818,4464,2822
Somalia,1993,5076,6617,6760,6930,7315,7561,7676,7850,8055,8251,8230,8078,7857,6029,3875
South Africa,1399,3830,5356,5750,6053,6462,6725,6799,6869,6973,7089,7117,7043,6971,5331,4471
South Korea,1382,3378,4379,4367,4306,4245,4220,4269,4365,4525,4680,4726,4753,4742,3873,3788
South Sudan,2034,5202,6762,6837,6964,7340,7622,7792,8012,8272,8453,8380,8149,7891,5996,4305
Spain,1851,4124,5495,5821,5927,5980,5942,5805,5714,5696,5745,5811,5814,5725,4744,4941
Sri Lanka,1154,2905,3956,4331,4622,4986,5277,5527,5810,6117,6337,6282,6131,5893,4519,3867
Sudan,1669,3787,4739,5192,5601,6054,6339,6333,6375,6425,6463,6354,6197,5996,4662,3408
Suriname,1570,4250,5832,6039,6133,6291,6388,6436,6554,6718,6857,6805,6633,6451,5063,4592
Swaziland,1747,4495,5935,6185,6478,7006,7288,7324,7407,7492,7579,7552,7446,7292,5564,4130
Sweden,1477,3691,5117,5542,5760,5779,5698,5568,5504,5476,5538,5568,5559,5540,4524,4555
Switzerland,1708,3850,5144,5508,5688,5760,5694,5529,5486,5478,5567,5618,5636,5563,4573,4697
Syria,1505,3696,4901,5431,5873,6390,6672,6624,6608,6638,6615,6540,6383,6225,4806,3695
Taiwan,1018,2397,2974,3117,3364,3833,4241,4589,4958,5318,5611,5680,5651,5539,4121,3662
Tajikistan,1460,3673,4842,5080,5286,5577,5818,6005,6189,6428,6640,6690,6602,6586,4912,3576
Tanzania,1969,5089,6684,6689,6817,7298,7582,7672,7839,8043,8241,8185,8038,7801,5954,4008
Thailand,1147,2891,3925,4259,4572,4930,5257,5502,5792,6090,6295,6262,6091,5874,4536,4250
The Bahamas,1584,4276,5857,6005,6081,6270,6367,6440,6561,6723,6840,6757,6575,6382,5059,4943
The Gambia,1873,4763,6218,6507,6747,7215,7460,7482,7546,7588,7669,7563,7603,7481,5707,3740
Timor-Leste,1197,3019,4041,4366,4679,5069,5406,5610,5878,6133,6349,6346,6188,6016,4555,2852
Togo,1788,4487,5805,6030,6281,6673,6964,7061,7194,7338,7497,7530,7451,7326,5527,3800
Tonga,1189,2971,3872,4055,4314,4713,5050,5299,5583,5876,6143,6189,6047,5890,4584,3008
Trinidad and Tobago,1580,4241,5825,5984,6089,6269,6360,6421,6540,6686,6786,6727,6585,6358,5037,4969
Tunisia,1480,3642,4867,5402,5905,6456,6722,6669,6609,6579,6579,6549,6370,6183,4827,4608
Turkey,1565,3360,4095,4855,5453,5919,6211,6188,6244,6314,6344,6207,5983,5703,4556,4158
Turkmenistan,1452,3651,4797,5046,5256,5559,5790,5929,6196,6425,6658,6742,6688,6672,5019,3977
Uganda,2421,6135,7916,7905,8019,8560,8900,9027,9251,9521,9677,9607,9413,9156,6990,4464
Ukraine,1724,4056,5066,5520,5864,6185,6508,6984,7509,8062,8558,8875,8974,8987,6434,6022
United Arab Emirates,1519,3603,4704,5117,5516,5925,6123,6131,6115,6143,6179,6197,6121,6049,4728,4855
United Kingdom,1363,3388,4664,5062,5264,5302,5222,5131,5074,5067,5129,5203,5188,5155,4204,4190
United States,2475,6194,7241,6835,6584,6842,6905,6706,6558,6458,6361,6190,5935,5646,4367,5406
Uruguay,1709,4258,5710,5881,5938,6044,6032,5920,5891,5879,5948,5964,5920,5834,4595,4601
Uzbekistan,1457,3688,4858,5095,5279,5563,5774,5954,6170,6406,6651,6758,6687,6654,5041,3963
Vanuatu,1189,2974,3867,4082,4303,4685,5035,5304,5575,5843,6076,6035,5945,5843,4416,3014
Venezuela,1452,3879,5320,5541,5604,5560,5552,5742,5958,6200,6378,6342,6185,5979,4709,4083
Vietnam,1142,2901,3938,4278,4592,4951,5255,5465,5737,6041,6297,6335,6213,6038,4702,3814
"Virgin Islands, U.S.",1615,4312,5918,6163,6287,6433,6495,6536,6605,6720,6840,6744,6496,6300,4997,5080
Yemen,1475,3640,4823,5336,5772,6242,6507,6570,6594,6580,6602,6529,6359,6187,4791,3401
Zambia,1992,5054,6588,6681,6846,7308,7608,7713,7900,8135,8305,8255,8088,7864,6041,3919
Zimbabwe,1750,4509,5981,6203,6458,6969,7245,7259,7356,7454,7557,7540,7399,7223,5525,3875
