periode,zelfdoding
2005JJ00,140
2006JJ00,116
2007JJ00,103
2008JJ00,114
2009JJ00,114
2010JJ00,130
2011JJ00,125
2012JJ00,130
2013JJ00,149
2014JJ00,135
2015JJ00,104
2005JJ00,132
2006JJ00,130
2007JJ00,116
2008JJ00,127
2009JJ00,146
2010JJ00,155
2011JJ00,156
2012JJ00,159
2013JJ00,149
2014JJ00,149
2015JJ00,148
2005JJ00,124
2006JJ00,126
2007JJ00,109
2008JJ00,116
2009JJ00,134
2010JJ00,142
2011JJ00,134
2012JJ00,159
2013JJ00,160
2014JJ00,182
2015JJ00,165
2005JJ00,118
2006JJ00,84
2007JJ00,89
2008JJ00,93
2009JJ00,108
2010JJ00,118
2011JJ00,118
2012JJ00,126
2013JJ00,159
2014JJ00,164
2015JJ00,149
2005JJ00,49
2006JJ00,62
2007JJ00,78
2008JJ00,67
2009JJ00,96
2010JJ00,110
2011JJ00,108
2012JJ00,91
2013JJ00,125
2014JJ00,106
2015JJ00,114
2005JJ00,49
2006JJ00,60
2007JJ00,50
2008JJ00,55
2009JJ00,41
2010JJ00,59
2011JJ00,42
2012JJ00,61
2013JJ00,78
2014JJ00,58
2015JJ00,96
2005JJ00,42
2006JJ00,42
2007JJ00,33
2008JJ00,36
2009JJ00,44
2010JJ00,44
2011JJ00,48
2012JJ00,41
2013JJ00,49
2014JJ00,63
2015JJ00,58
2005JJ00,29
2006JJ00,34
2007JJ00,33
2008JJ00,40
2009JJ00,39
2010JJ00,32
2011JJ00,36
2012JJ00,33
2013JJ00,44
2014JJ00,45
2015JJ00,47
2005JJ00,24
2006JJ00,38
2007JJ00,24
2008JJ00,16
2009JJ00,31
2010JJ00,23
2011JJ00,31
2012JJ00,28
2013JJ00,32
2014JJ00,27
2015JJ00,46
2005JJ00,18
2006JJ00,14
2007JJ00,11
2008JJ00,19
2009JJ00,18
2010JJ00,15
2011JJ00,19
2012JJ00,19
2013JJ00,21
2014JJ00,17
2015JJ00,23
2005JJ00,7
2006JJ00,7
2007JJ00,5
2008JJ00,8
2009JJ00,3
2010JJ00,9
2011JJ00,4
2012JJ00,8
2013JJ00,11
2014JJ00,7
2015JJ00,12
2005JJ00,1
2006JJ00,2
2007JJ00,3
2008JJ00,3
2009JJ00,5
2010JJ00,3
2011JJ00,1
2012JJ00,3
2013JJ00,1
2014JJ00,1
2015JJ00,0
2005JJ00,499
2006JJ00,478
2007JJ00,410
2008JJ00,447
2009JJ00,461
2010JJ00,476
2011JJ00,511
2012JJ00,567
2013JJ00,549
2014JJ00,589
2015JJ00,591
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,0
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,0
2010JJ00,0
2011JJ00,0
2012JJ00,0
2013JJ00,0
2014JJ00,0
2015JJ00,0
2005JJ00,2
2006JJ00,3
2007JJ00,4
2008JJ00,0
2009JJ00,2
2010JJ00,1
2011JJ00,1
2012JJ00,2
2013JJ00,3
2014JJ00,1
2015JJ00,6
2005JJ00,9
2006JJ00,14
2007JJ00,7
2008JJ00,9
2009JJ00,10
2010JJ00,12
2011JJ00,14
2012JJ00,12
2013JJ00,19
2014JJ00,23
2015JJ00,14
2005JJ00,24
2006JJ00,20
2007JJ00,15
2008JJ00,22
2009JJ00,14
2010JJ00,14
2011JJ00,24
2012JJ00,20
2013JJ00,27
2014JJ00,25
2015JJ00,20
2005JJ00,17
2006JJ00,24
2007JJ00,17
2008JJ00,20
2009JJ00,24
2010JJ00,22
2011JJ00,34
2012JJ00,26
2013JJ00,28
2014JJ00,28
2015JJ00,32
2005JJ00,38
2006JJ00,27
2007JJ00,31
2008JJ00,21
2009JJ00,23
2010JJ00,31
2011JJ00,29
2012JJ00,32
2013JJ00,18
2014JJ00,26
2015JJ00,33
2005JJ00,53
2006JJ00,35
2007JJ00,35
2008JJ00,33
2009JJ00,37
2010JJ00,37
2011JJ00,35
2012JJ00,39
2013JJ00,31
2014JJ00,38
2015JJ00,33
2005JJ00,47
2006JJ00,49
2007JJ00,31
2008JJ00,40
2009JJ00,54
2010JJ00,51
2011JJ00,61
2012JJ00,62
2013JJ00,38
2014JJ00,38
2015JJ00,45
2005JJ00,67
2006JJ00,58
2007JJ00,63
2008JJ00,56
2009JJ00,52
2010JJ00,61
2011JJ00,63
2012JJ00,72
2013JJ00,70
2014JJ00,76
2015JJ00,63
2005JJ00,61
2006JJ00,64
2007JJ00,42
2008JJ00,54
2009JJ00,66
2010JJ00,58
2011JJ00,50
2012JJ00,65
2013JJ00,70
2014JJ00,76
2015JJ00,70
2005JJ00,43
2006JJ00,61
2007JJ00,40
2008JJ00,53
2009JJ00,48
2010JJ00,51
2011JJ00,59
2012JJ00,57
2013JJ00,68
2014JJ00,80
2015JJ00,82
2005JJ00,36
2006JJ00,34
2007JJ00,42
2008JJ00,55
2009JJ00,31
2010JJ00,46
2011JJ00,40
2012JJ00,52
2013JJ00,44
2014JJ00,56
2015JJ00,60
2005JJ00,28
2006JJ00,21
2007JJ00,25
2008JJ00,21
2009JJ00,23
2010JJ00,25
2011JJ00,26
2012JJ00,45
2013JJ00,48
2014JJ00,33
2015JJ00,42
2005JJ00,27
2006JJ00,25
2007JJ00,17
2008JJ00,24
2009JJ00,29
2010JJ00,21
2011JJ00,35
2012JJ00,28
2013JJ00,26
2014JJ00,28
2015JJ00,36
2005JJ00,17
2006JJ00,15
2007JJ00,16
2008JJ00,12
2009JJ00,14
2010JJ00,12
2011JJ00,11
2012JJ00,25
2013JJ00,24
2014JJ00,21
2015JJ00,27
2005JJ00,18
2006JJ00,17
2007JJ00,11
2008JJ00,15
2009JJ00,22
2010JJ00,19
2011JJ00,16
2012JJ00,18
2013JJ00,11
2014JJ00,22
2015JJ00,13
2005JJ00,9
2006JJ00,11
2007JJ00,7
2008JJ00,10
2009JJ00,6
2010JJ00,11
2011JJ00,10
2012JJ00,8
2013JJ00,13
2014JJ00,10
2015JJ00,13
2005JJ00,2
2006JJ00,0
2007JJ00,7
2008JJ00,2
2009JJ00,5
2010JJ00,3
2011JJ00,3
2012JJ00,3
2013JJ00,11
2014JJ00,8
2015JJ00,2
2005JJ00,1
2006JJ00,0
2007JJ00,0
2008JJ00,0
2009JJ00,1
2010JJ00,1
2011JJ00,0
2012JJ00,1
2013JJ00,0
2014JJ00,0
2015JJ00,0
