"","Crude suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000)","Age-standardized suicide rates (per 100 000)","Age-standardized suicide rates (per 100 000)"
""," 2012"," 2012"," 2012"," 2012"
"Country"," Both sexes"," Both sexes"," Female"," Male"
"Russian Federation","22.3","19.5","6.2","35.1"
"Rwanda","7.6","11.9","7.2","17.1"
"Saudi Arabia","0.3","0.4","0.2","0.6"
"Senegal","3.2","5.4","2.8","8.6"
"Serbia","16.8","12.4","5.8","19.9"
"Sierra Leone","5.6","7.7","4.5","11.0"
"Singapore","9.0","7.4","5.3","9.8"
"Slovakia","12.6","10.1","2.5","18.5"
"Slovenia","17.1","12.4","4.4","20.8"
"Solomon Islands","6.3","10.6","7.2","13.9"
"Somalia","8.0","12.4","6.8","18.1"
"South Africa","2.7","3.0","1.1","5.5"
"South Sudan","13.6","19.8","12.8","27.1"
"Spain","7.0","5.1","2.2","8.2"
"Sri Lanka","29.2","28.8","12.8","46.4"
"Sudan","11.5","17.2","11.5","23.0"
"Suriname","28.3","27.8","11.9","44.5"
"Swaziland","5.3","6.2","4.1","8.6"
"Sweden","13.2","11.1","6.1","16.2"
"Switzerland","12.2","9.2","5.1","13.6"
"Syrian Arab Republic","0.4","0.4","0.2","0.7"
"Tajikistan","3.2","4.2","2.8","5.7"
"Thailand","13.1","11.4","4.5","19.1"
"The former Yugoslav republic of Macedonia","6.7","5.2","3.2","7.3"
"Timor-Leste","5.4","8.0","5.8","10.2"
"Togo","3.7","5.5","2.8","8.5"
"Trinidad and Tobago","14.4","13.0","6.2","20.4"
"Tunisia","2.4","2.4","1.4","3.4"
"Turkey","8.0","7.9","4.2","11.8"
"Turkmenistan","19.4","19.6","7.5","32.5"
"Uganda","11.9","19.5","12.3","26.9"
"Ukraine","20.1","16.8","5.3","30.3"
"United Arab Emirates","3.0","3.2","1.7","3.9"
"United Kingdom of Great Britain and Northern Ireland","7.0","6.2","2.6","9.8"
"United Republic of Tanzania","15.1","24.9","18.3","31.6"
"United States of America","13.7","12.1","5.2","19.4"
"Uruguay","13.8","12.1","5.2","20.0"
"Uzbekistan","7.7","8.5","4.1","13.2"
"Venezuela (Bolivarian Republic of)","2.6","2.6","1.0","4.3"
"Viet Nam","5.1","5.0","2.4","8.0"
"Yemen","3.1","3.7","3.0","4.3"
"Zambia","9.6","15.7","10.8","20.8"
"Zimbabwe","16.6","18.1","9.7","27.2"
